VendorId,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,fare_amount,extra,tip_amount,improvement_surcharge,total_amount
1,2024-01-16T14:25:20.000,2024-01-16T15:19:35.000,1,17.7,70.0,4.25,15.15,1.0,90.9
2,2024-01-15T17:29:29.000,2024-01-15T17:46:46.000,1,2.15,16.3,0.0,3.0,1.0,23.3
2,2024-01-15T08:34:01.000,2024-01-15T08:39:35.000,1,0.91,7.2,0.0,2.24,1.0,13.44
2,2024-01-29T13:02:44.000,2024-01-29T13:15:35.000,1,1.17,12.1,0.0,4.03,1.0,20.13
2,2024-01-24T18:24:34.000,2024-01-24T18:30:46.000,2,1.02,7.9,2.5,0.0,1.0,14.4
1,2024-01-18T00:21:40.000,2024-01-18T00:34:23.000,1,2.4,14.2,3.5,3.85,1.0,23.05
2,2024-01-02T20:30:49.000,2024-01-02T20:53:48.000,3,4.3,24.7,1.0,5.94,1.0,35.64
2,2024-01-27T19:43:43.000,2024-01-27T19:51:03.000,1,1.47,10.0,0.0,2.8,1.0,16.8
1,2024-01-28T11:40:54.000,2024-01-28T11:50:17.000,1,1.5,10.7,2.5,2.9,1.0,17.6
2,2024-01-30T10:30:05.000,2024-01-30T10:37:29.000,6,0.64,8.6,0.0,2.52,1.0,15.12
2,2024-01-17T16:19:11.000,2024-01-17T16:42:58.000,1,3.05,21.9,0.0,0.0,1.0,25.9
2,2024-01-09T00:06:01.000,2024-01-09T00:22:46.000,1,4.2,21.2,1.0,5.24,1.0,31.44
2,2024-01-06T18:24:18.000,2024-01-06T18:32:42.000,3,1.28,9.3,0.0,2.0,1.0,15.3
2,2024-01-15T06:53:27.000,2024-01-15T07:17:11.000,1,5.38,27.5,0.0,0.0,1.0,31.5
2,2024-01-25T07:39:20.000,2024-01-25T07:50:38.000,1,1.48,12.1,0.0,0.0,1.0,13.6
2,2024-01-29T11:35:12.000,2024-01-29T11:51:59.000,1,2.34,16.3,0.0,4.06,1.0,24.36
2,2024-01-28T11:47:07.000,2024-01-28T11:55:03.000,1,1.22,9.3,0.0,2.66,1.0,15.96
1,2024-01-10T09:29:49.000,2024-01-10T10:08:30.000,1,5.1,35.2,2.5,7.8,1.0,47.0
1,2024-01-13T21:39:17.000,2024-01-13T21:47:08.000,1,1.4,10.0,3.5,1.0,1.0,16.0
2,2024-01-31T18:00:53.000,2024-01-31T18:09:07.000,5,1.25,9.3,2.5,1.5,1.0,17.3
2,2024-01-22T10:44:06.000,2024-01-22T10:48:40.000,2,0.77,6.5,0.0,2.1,1.0,12.6
